,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
1346,3,3,3,1,2,6,1,4,1,3,6,2,2,3,5,2,3,2,2
1393,1,3,3,2,4,4,5,4,1,1,1,1,3,3,5,1,5,1,2
1396,1,3,3,2,3,6,6,4,2,2,1,2,2,4,5,1,1,1,2
1398,1,3,2,2,2,7,7,4,1,3,4,2,5,5,3,5,3,2,2
1413,2,3,3,2,3,3,4,6,1,1,6,2,4,3,5,3,5,4,2
1421,3,3,3,2,2,4,6,6,3,1,3,2,3,4,5,3,3,3,2
1424,1,2,2,1,2,4,7,4,2,1,1,2,3,3,5,2,3,1,2
1427,3,2,3,1,3,4,6,5,1,1,1,2,2,5,5,2,3,1,2
1434,2,3,4,2,3,4,2,6,1,1,5,2,3,3,5,3,4,1,2
1449,2,3,1,1,3,6,4,3,1,1,1,2,5,3,5,1,2,2,2
1518,2,3,3,2,2,5,6,4,1,1,2,2,3,5,5,3,4,1,2
1525,3,3,3,2,3,5,1,1,1,1,1,2,1,3,5,5,4,1,2
1537,2,3,3,1,2,7,4,1,1,1,1,2,2,3,5,2,3,2,2
1539,3,3,2,2,4,2,5,6,1,2,2,2,2,3,5,2,4,1,2
1545,2,2,2,2,1,4,4,2,4,3,1,4,3,3,5,1,4,2,2
1558,3,3,3,1,4,5,7,7,1,2,4,2,5,5,5,2,4,1,2
1559,3,3,3,2,2,3,1,5,4,5,6,2,3,3,5,5,3,1,2
1561,3,3,1,1,1,4,6,1,1,1,1,2,1,3,5,1,5,1,2
1569,4,3,3,2,3,4,4,1,4,5,1,1,5,5,5,3,4,2,2
1570,3,3,3,2,4,6,6,6,1,3,1,3,3,5,5,2,5,1,2
1587,3,3,3,2,4,4,6,1,1,3,1,3,3,3,5,3,3,1,2
1602,3,3,2,2,3,3,6,7,1,1,1,2,3,3,5,2,4,3,2
1629,1,3,3,2,3,5,4,6,1,4,3,2,1,3,4,1,3,1,2
1647,1,3,4,1,4,2,6,1,1,2,1,3,2,3,5,2,4,2,2
1652,2,3,3,1,2,3,5,3,1,1,3,2,2,3,5,2,2,2,2
1656,3,2,2,2,4,4,6,5,4,3,5,2,5,3,5,1,3,2,2
1657,1,1,2,2,2,2,4,4,1,3,4,2,3,3,5,2,5,1,2
1659,2,3,3,2,2,6,4,6,1,2,1,2,2,3,5,2,3,2,2
1663,1,3,2,2,1,5,7,6,1,1,1,2,1,3,5,1,3,2,2
1675,2,1,2,1,2,5,6,4,2,3,1,2,3,2,5,1,3,1,2
1676,1,3,3,2,1,6,6,6,5,3,4,2,4,4,5,2,4,1,2
1681,1,3,3,2,2,7,1,4,1,1,1,2,2,3,5,2,3,1,2
1687,1,3,3,2,4,5,4,4,1,3,2,2,3,3,5,5,2,3,2
1694,1,2,2,1,3,6,7,4,1,2,1,2,1,4,5,1,4,3,2
1697,2,4,2,1,1,3,7,3,1,1,4,5,1,4,5,1,1,2,2
1700,1,3,3,1,1,6,4,4,1,2,2,2,1,4,5,1,4,1,2
1707,2,3,2,1,3,5,1,2,2,1,1,2,1,5,5,5,5,1,2
1714,1,2,3,1,1,3,6,1,1,3,2,2,1,3,5,1,4,1,2
1728,1,3,2,1,4,6,1,6,1,2,1,2,1,3,5,1,4,1,2
1736,3,3,2,1,1,1,4,7,1,2,1,2,1,3,5,1,1,2,2
1745,4,4,3,2,3,5,1,4,1,1,2,2,2,3,5,2,3,1,2
1749,3,3,2,2,3,4,1,1,1,1,5,2,3,5,3,2,4,2,2
1765,1,2,2,2,4,4,6,2,1,3,1,3,3,3,5,1,5,1,2
1767,1,2,2,1,2,5,4,2,1,2,4,2,2,3,5,2,3,1,2
1770,3,3,3,1,2,6,6,4,1,3,2,2,2,3,3,2,2,1,2
1790,1,3,2,2,2,6,4,6,1,1,4,4,1,3,5,1,4,1,2
1795,3,3,3,2,4,2,7,4,1,3,1,2,3,3,5,1,3,1,2
1796,1,3,3,1,3,3,3,7,1,1,3,1,2,3,5,2,2,2,2
1817,1,2,2,1,1,5,1,4,1,1,1,1,1,5,5,1,1,1,2
1823,3,2,2,1,1,5,4,6,1,1,1,2,1,2,5,1,3,2,2
1829,2,3,2,1,2,4,6,1,1,1,1,2,3,5,5,1,3,1,2
1832,3,3,4,2,2,4,6,1,2,3,2,2,3,4,5,3,5,1,2
1842,1,3,1,2,4,3,6,4,1,3,1,2,3,3,4,3,5,1,2
1843,2,3,2,2,2,5,4,4,1,3,3,2,3,3,5,3,4,1,2
1846,2,3,2,1,3,5,6,3,1,3,3,3,3,3,5,2,3,3,2
1854,2,2,3,2,2,4,5,6,4,1,4,2,2,3,5,2,4,3,2
1855,3,3,1,2,4,4,4,3,1,3,1,2,3,4,5,2,3,1,2
1857,3,2,3,2,3,4,6,6,1,3,2,2,1,3,5,1,3,1,2
1868,2,3,2,2,4,7,5,5,1,2,2,2,1,3,5,1,3,1,2
1889,3,3,2,1,3,4,4,4,2,3,7,4,3,3,5,3,3,2,2
1890,3,3,3,1,4,4,4,4,1,3,4,2,3,3,5,3,4,1,2
1892,4,3,2,2,2,5,1,4,2,2,2,5,1,4,5,5,5,1,2
1894,1,1,1,1,4,5,4,5,1,2,1,1,1,3,5,1,4,3,2
1902,3,3,3,2,4,4,6,7,1,2,2,2,3,3,5,3,2,1,2
1906,2,1,2,2,4,4,6,4,1,2,1,2,1,3,5,1,2,1,2
1922,3,3,3,2,4,5,7,4,1,1,4,2,1,3,5,1,3,1,2
1929,1,3,3,2,4,2,7,6,1,3,2,1,4,4,3,1,2,1,2
1951,1,2,3,2,3,6,3,5,1,1,2,2,3,3,5,3,3,2,2
1956,3,3,2,1,2,5,6,4,1,1,1,2,1,3,5,1,4,1,2
1961,3,2,3,1,4,3,1,1,1,1,3,2,3,4,4,3,3,1,2
1967,3,3,2,2,4,3,6,4,1,3,3,2,4,4,5,3,4,1,2
1980,2,3,3,2,2,5,6,5,1,3,4,2,2,3,5,2,3,2,2
1987,1,3,2,2,2,6,7,5,1,3,1,2,3,3,5,2,4,1,2
1991,4,3,3,2,2,3,4,6,4,1,1,2,2,3,5,5,4,2,2
1992,3,2,3,2,4,2,6,6,1,2,2,4,3,3,5,4,2,3,2
1993,2,4,3,2,3,5,6,1,1,1,2,2,3,4,3,3,3,1,2
2000,1,3,2,2,4,3,1,5,1,2,1,2,3,3,5,4,3,2,2
2002,3,3,3,2,4,6,4,2,2,1,2,2,3,3,5,1,2,2,2
2009,2,4,2,2,3,5,6,7,2,3,1,4,1,3,5,1,5,1,2
2010,4,4,3,2,1,7,7,7,1,5,2,1,5,3,5,5,2,2,2
2012,1,4,2,2,4,6,6,7,5,3,1,2,2,3,3,2,3,2,2
2026,1,2,2,1,3,4,7,3,1,1,3,4,2,2,5,1,5,1,2
2027,3,3,2,2,4,5,6,7,1,1,5,2,1,3,5,1,5,1,2
2056,2,3,3,1,2,5,6,6,5,5,3,2,3,4,5,1,4,2,2
2060,3,2,3,2,3,6,7,6,5,3,1,5,5,5,5,1,4,1,2
2063,1,3,2,1,4,5,1,5,1,2,4,2,1,5,5,1,3,1,2
2067,2,3,2,2,4,6,4,6,1,2,6,2,1,3,5,1,5,1,2
2077,3,2,2,2,4,5,4,6,2,3,1,2,3,2,5,5,3,4,2
2079,2,3,2,2,3,2,4,4,1,2,4,3,2,2,4,2,4,2,2
2083,2,4,2,1,2,6,5,5,5,1,1,2,2,3,5,1,3,1,2
2086,2,3,3,2,1,4,1,3,1,1,1,3,3,3,5,1,3,1,2
2089,1,3,2,2,2,3,5,4,1,2,1,2,3,3,5,3,3,1,2
2093,2,4,2,1,1,5,1,5,1,2,5,2,2,3,5,1,1,3,2
2106,1,3,2,2,4,6,4,6,1,1,1,1,1,3,5,1,3,1,2
2119,2,4,4,2,2,3,4,4,2,1,5,2,4,1,4,1,3,1,2
2153,1,3,3,1,3,3,7,4,1,1,2,2,2,3,3,2,3,2,2
2156,1,2,3,1,2,3,6,2,3,2,4,2,2,2,3,1,3,2,2
2167,2,3,2,2,4,4,4,1,2,3,2,2,3,3,5,2,4,3,2
2177,1,3,3,2,4,5,7,7,3,1,1,2,3,3,3,5,3,1,2
2181,1,3,3,2,4,4,6,4,1,2,4,2,3,4,5,4,2,1,2
2228,3,3,2,1,3,4,1,1,6,1,1,2,3,3,3,2,2,2,2
2235,2,3,2,1,2,7,4,1,1,2,1,2,3,3,3,2,4,1,2
2240,1,3,2,1,1,3,6,4,1,3,4,4,2,3,5,1,4,1,2
2249,2,3,3,1,3,5,4,1,1,1,3,2,2,4,5,1,3,2,2
2264,1,2,2,1,2,6,6,2,1,1,4,2,2,3,5,2,3,2,2
2317,3,3,3,2,4,6,6,4,2,5,1,1,3,5,5,5,4,3,2
2327,2,3,1,2,4,4,4,4,1,3,1,2,2,5,3,2,4,2,2
2337,2,3,3,2,2,3,6,4,3,3,3,2,4,3,5,3,3,1,2
2347,2,3,2,2,2,4,4,6,1,4,1,2,2,3,5,2,2,1,2
2358,2,2,2,1,1,5,6,1,1,1,1,2,1,2,5,3,2,2,2
2359,3,3,2,2,4,6,4,6,4,3,4,2,3,3,3,1,3,2,2
2368,1,2,1,2,1,4,1,4,1,1,2,2,1,3,5,1,3,1,2
2378,4,3,3,2,4,4,6,4,1,5,1,4,3,3,5,2,2,1,2
2415,3,3,3,2,3,4,7,4,2,4,4,2,3,3,5,3,4,2,2
2440,2,4,2,2,4,5,7,7,1,3,4,2,5,3,5,3,3,1,2
2458,2,3,2,2,2,4,4,6,1,5,1,2,2,5,3,2,4,3,2
2466,3,3,2,1,4,4,4,2,4,1,1,1,4,3,5,1,3,1,2
2484,2,3,2,2,4,5,4,6,1,3,4,4,3,5,3,2,3,2,2
2491,2,3,2,1,4,3,2,1,1,5,1,2,2,3,3,2,4,1,2
2495,1,2,1,1,3,3,5,6,1,1,2,3,1,3,5,1,3,1,2
2520,3,3,3,2,3,5,6,4,1,2,4,2,2,5,3,2,3,2,2
2521,1,4,2,2,4,3,4,6,1,2,1,2,3,5,5,3,4,2,2
2524,4,3,4,2,2,2,4,1,1,4,6,4,2,5,5,4,4,1,2
2545,3,4,3,2,4,3,7,4,5,1,4,3,4,3,5,3,3,4,2
2573,3,3,3,1,2,5,6,1,1,1,1,2,2,3,5,1,3,1,2
2582,2,3,2,1,4,3,2,4,1,5,1,2,1,3,5,2,4,1,2
2610,2,3,3,2,4,3,4,6,2,3,1,2,3,4,3,3,3,1,2
2619,2,3,2,2,4,4,4,4,1,3,4,2,3,4,5,3,4,2,2
2631,3,3,3,2,2,4,6,5,1,4,1,1,1,5,5,1,3,2,2
2640,4,3,2,2,3,5,4,6,1,2,1,2,1,3,4,1,4,2,2
2646,1,2,2,2,3,5,3,5,1,3,1,2,1,4,5,1,2,1,2
