variable,importance_score,label,valid_rate
fq7garb,0.1341663351014414,Frequency of Garbage Disposal,0.9924812030075187
q7mgecsc,0.1335615340975532,Norms of Marriage: The Biggest Benefit is Economic Stability,0.9921052631578947
q7mgdvgd,0.1327973267377966,Norms of Marriage: Divorce Is Best Solution,0.9951127819548872
sfmhpeac,0.1300697185368978,Mental Health: Felt Calm and Peaceful,0.9958646616541353
tr3unnz,0.129444529961751,Trust in Labor Unions,0.9909774436090225
sfmhengy,0.1276006629658758,Mental Health: Had a lot of Energy,0.9958646616541353
fq7shop,0.1251693010902342,Frequency of Grocery Shopping,0.9966165413533835
op5levk,0.1239573884645968,Position in the Society in 5 Strata,0.9909774436090225
fq7rph,0.1201765453182992,Frequency of Home Repair,0.9909774436090225
axecnsf,0.1200741939279929,Anxiety about Your Economic Situation in the Future,0.9962406015037594
tr3corpz,0.119478478749258,Trust in Major Companies,0.9921052631578947
do7drink,0.1138841445123569,Frequency of Drinking,0.9909774436090225
fq4elc,0.1135371344717915,Frequency of Ecological Behavior: Save Electricity　,0.9954887218045113
szffothr,0.1097472921956389,Number of Other Family Members,0.999624060150376
fqsport,0.1096466384368578,Frequency of Regularly Practiced Sports,0.9962406015037594
doecslp,0.1071230596444465,Use of Eco-products: Solar Pannel,0.9898496240601504
fq7frsee,0.1038769154208926,Frequency of Meals with Friends,0.9932330827067669
q7prff,0.103795446821835,Norms of Placing Priority on Family: Precedence of Family Over Self,0.9932330827067669
fq5newsp,0.1034782118436188,Frequency of Reading Newspaper,0.9973684210526316
fq7ffdnr,0.1029141336000925,Frequency of Family Dinner,0.9928571428571429
xgetjob,0.1004106972765849,Time of Getting the First Job,0.999624060150376
distsnm,0.0985872059085657,Possibility of Natural Disaster: Tsunami,0.9947368421052631
disland,0.0965263885886201,Possibility of Natural Disaster: Landslide and Avalanche of Sand and Stone,0.9936090225563909
dopothr,0.0921950407209161,Having Pets: Others,0.9984962406015038
ownhouse,0.0893931564640332,Type of Residence: Owned,0.999624060150376
disquake,0.0887787257292871,Possibility of Natural Disaster: Earthquake,0.9947368421052631
dopdoge,0.0860054079061971,Having Pets: Dogs (Outdoor),0.9984962406015038
memrl,0.0842467281359078,Membership of Religious Groups,0.9936090225563909
op5schpf,0.0811336240458279,Class Rank in the Senior of Junior High School,0.9898496240601504
fq4denki,0.0797477486141642,Frequency of Ecological Behavior: Turn off lights not in use,0.9984962406015038
dosmokex,0.073588282340321,Experience of Smoking,0.9966165413533835
xnumsise,0.0712979345430258,Number of Older Sisters,0.9951127819548872
nummarry,0.065868405086883,Number of Marriage,0.8330827067669173
remote15,0.0653589969327962,Place of Residence at Age 15: Rural or Not,0.9785714285714285
xssrmg,0.0639940451490005,First Marriage or Remarriage for Spouse,0.7766917293233083
disvolc,0.0634536936245113,Possibility of Natural Disaster: Volcanic Eruption,0.9936090225563909
axfdrad,0.0607571990011602,Anxiety about Food Contamination by Radioactive Substances,0.9958646616541353
distsnow,0.0587812812093552,Possibility of Natural Disaster: Heavy Snow,0.9943609022556391
commdis,0.0586592197382102,Community Cooperation at Natural Disaster,0.9969924812030075
disnuc,0.057649555872252,Possibility of Natural Disaster: Accidents of Nuclear Power Plants,0.9924812030075187
dolookjb,0.0569032975647504,Searching New Job Now,0.9977443609022556
xssnbroe,0.0545935274585411,Number of Spouse Older Brothers,0.7763157894736842
opnbass,0.0537033501219608,Neighborhood Environment: Willing to Provide Assistance,0.9973684210526316
dopcate,0.0524174955959543,Having Pets: Cats (Outdoor),0.9984962406015038
memsport,0.0504402274924916,Membership of Sports Groups,0.9928571428571429
tp1stjbs,0.0500102473466464,Employment Status of the First Job,0.912781954887218
opffix15,0.0490786557498376,Comparison of Household Income with Others at Age 15,0.9796992481203007
incpar,0.0460981924014944,Income Source: Parents Income,0.9992481203007518
memhobby,0.0435298018414791,Membership of Hobby Groups,0.9947368421052631
opppcare,0.0431712989227173,Responsibility of Care for Elderly Parent,0.9890977443609023
xnumsisy,0.0424763726871571,Number of Younger Sisters,0.9951127819548872
xnumbroe,0.0417017558339764,Number of Older Brothers,0.9951127819548872
memvlntr,0.0396083511373706,Membership of Social Service Groups,0.9939849624060151
xx8plpty,0.0323682214741634,Political Support,0.9898496240601504
xssnsise,0.0303310523531826,Number of Spouse Older Sisters,0.7763157894736842
xhssub,0.0253801089659406,Course Learned in High School,0.8556390977443609
nogoal,0.0246062322830594,Hopelessness: No Hope for Reaching Goals,0.987593984962406
xnumbroy,0.0236861527285028,Number of Younger Brothers,0.9951127819548872
axcontcm,0.0233413198745584,Anxiety about the Sustainability of the Community,0.9981203007518797
dolstsch,0.0208051783974317,Completion of the Last School,0.999624060150376
memind,0.0191343651418155,Membership of Trade Associations,0.9954887218045113
fstmtss,0.0187297711102519,How Respondent Met Spouse,0.7657894736842106
appccnum,0.0179233330985281,Ideal Number of Children,0.9838345864661654
cc01sex,0.0166698056991655,Child 01: Sex,0.7684210526315789
appccsxb,0.0159619689493602,Desired Sex of Child,0.9451127819548872
memcivil,0.0158452054523895,Membership of Citizens Movement,0.9936090225563909
incsave,0.0157879440400063,Income Source: Savings,0.9992481203007518
tp1stjb,0.0150201893703692,Employment Relationship of the First Job,0.9766917293233083
ctvw20,0.0116174113149585,Place of Residence at Age 20: Experience of Moving,0.999624060150376
fq5read,0.0110601707301878,Number of Books You Read a Month,0.9969924812030075
