variable,importance_score,label,valid_rate
fq7garb,0.1341663351014414,Frequency of Garbage Disposal,0.9924812030075187
q7mgecsc,0.13356153409755323,Norms of Marriage: The Biggest Benefit is Economic Stability,0.9921052631578947
q7mgdvgd,0.13279732673779665,Norms of Marriage: Divorce Is Best Solution,0.9951127819548872
sfmhpeac,0.1300697185368978,Mental Health: Felt Calm and Peaceful,0.9958646616541353
tr3unnz,0.12944452996175101,Trust in Labor Unions,0.9909774436090225
sfmhengy,0.12760066296587583,Mental Health: Had a lot of Energy,0.9958646616541353
fq7shop,0.12516930109023422,Frequency of Grocery Shopping,0.9966165413533835
op5levk,0.12395738846459685,Position in the Society in 5 Strata,0.9909774436090225
fq7rph,0.12017654531829926,Frequency of Home Repair,0.9909774436090225
axecnsf,0.12007419392799298,Anxiety about Your Economic Situation in the Future,0.9962406015037594
tr3corpz,0.11947847874925807,Trust in Major Companies,0.9921052631578947
do7drink,0.11388414451235691,Frequency of Drinking,0.9909774436090225
fq4elc,0.11353713447179155,Frequency of Ecological Behavior: Save Electricity　,0.9954887218045113
szffothr,0.10974729219563897,Number of Other Family Members,0.999624060150376
fqsport,0.10964663843685787,Frequency of Regularly Practiced Sports,0.9962406015037594
doecslp,0.10712305964444653,Use of Eco-products: Solar Pannel,0.9898496240601504
fq7frsee,0.10387691542089267,Frequency of Meals with Friends,0.9932330827067669
q7prff,0.10379544682183507,Norms of Placing Priority on Family: Precedence of Family Over Self,0.9932330827067669
fq5newsp,0.10347821184361886,Frequency of Reading Newspaper,0.9973684210526316
fq7ffdnr,0.1029141336000925,Frequency of Family Dinner,0.9928571428571429
xgetjob,0.10041069727658493,Time of Getting the First Job,0.999624060150376
distsnm,0.09858720590856576,Possibility of Natural Disaster: Tsunami,0.9947368421052631
disland,0.09652638858862016,Possibility of Natural Disaster: Landslide and Avalanche of Sand and Stone,0.9936090225563909
dopothr,0.09219504072091617,Having Pets: Others,0.9984962406015038
ownhouse,0.08939315646403326,Type of Residence: Owned,0.999624060150376
disquake,0.08877872572928719,Possibility of Natural Disaster: Earthquake,0.9947368421052631
dopdoge,0.08600540790619718,Having Pets: Dogs (Outdoor),0.9984962406015038
memrl,0.08424672813590782,Membership of Religious Groups,0.9936090225563909
op5schpf,0.0811336240458279,Class Rank in the Senior of Junior High School,0.9898496240601504
fq4denki,0.0797477486141642,Frequency of Ecological Behavior: Turn off lights not in use,0.9984962406015038
dosmokex,0.07358828234032105,Experience of Smoking,0.9966165413533835
xnumsise,0.07129793454302583,Number of Older Sisters,0.9951127819548872
nummarry,0.06586840508688308,Number of Marriage,0.8330827067669173
remote15,0.06535899693279626,Place of Residence at Age 15: Rural or Not,0.9785714285714285
xssrmg,0.06399404514900059,First Marriage or Remarriage for Spouse,0.7766917293233083
disvolc,0.06345369362451139,Possibility of Natural Disaster: Volcanic Eruption,0.9936090225563909
axfdrad,0.060757199001160285,Anxiety about Food Contamination by Radioactive Substances,0.9958646616541353
distsnow,0.05878128120935524,Possibility of Natural Disaster: Heavy Snow,0.9943609022556391
commdis,0.05865921973821029,Community Cooperation at Natural Disaster,0.9969924812030075
disnuc,0.05764955587225209,Possibility of Natural Disaster: Accidents of Nuclear Power Plants,0.9924812030075187
dolookjb,0.056903297564750405,Searching New Job Now,0.9977443609022556
xssnbroe,0.05459352745854118,Number of Spouse Older Brothers,0.7763157894736842
opnbass,0.053703350121960806,Neighborhood Environment: Willing to Provide Assistance,0.9973684210526316
dopcate,0.05241749559595431,Having Pets: Cats (Outdoor),0.9984962406015038
memsport,0.05044022749249166,Membership of Sports Groups,0.9928571428571429
tp1stjbs,0.050010247346646414,Employment Status of the First Job,0.912781954887218
opffix15,0.049078655749837635,Comparison of Household Income with Others at Age 15,0.9796992481203007
incpar,0.04609819240149445,Income Source: Parents Income,0.9992481203007518
memhobby,0.04352980184147915,Membership of Hobby Groups,0.9947368421052631
opppcare,0.04317129892271731,Responsibility of Care for Elderly Parent,0.9890977443609023
xnumsisy,0.04247637268715713,Number of Younger Sisters,0.9951127819548872
xnumbroe,0.04170175583397645,Number of Older Brothers,0.9951127819548872
memvlntr,0.039608351137370684,Membership of Social Service Groups,0.9939849624060151
xx8plpty,0.032368221474163406,Political Support,0.9898496240601504
xssnsise,0.030331052353182605,Number of Spouse Older Sisters,0.7763157894736842
xhssub,0.025380108965940652,Course Learned in High School,0.8556390977443609
nogoal,0.024606232283059415,Hopelessness: No Hope for Reaching Goals,0.987593984962406
xnumbroy,0.02368615272850284,Number of Younger Brothers,0.9951127819548872
axcontcm,0.023341319874558494,Anxiety about the Sustainability of the Community,0.9981203007518797
dolstsch,0.020805178397431748,Completion of the Last School,0.999624060150376
memind,0.01913436514181551,Membership of Trade Associations,0.9954887218045113
fstmtss,0.01872977111025191,How Respondent Met Spouse,0.7657894736842106
appccnum,0.017923333098528144,Ideal Number of Children,0.9838345864661654
cc01sex,0.016669805699165506,Child 01: Sex,0.7684210526315789
appccsxb,0.015961968949360267,Desired Sex of Child,0.9451127819548872
memcivil,0.015845205452389564,Membership of Citizens Movement,0.9936090225563909
incsave,0.015787944040006364,Income Source: Savings,0.9992481203007518
tp1stjb,0.015020189370369263,Employment Relationship of the First Job,0.9766917293233083
ctvw20,0.011617411314958564,Place of Residence at Age 20: Experience of Moving,0.999624060150376
fq5read,0.011060170730187873,Number of Books You Read a Month,0.9969924812030075
